,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239692659,來自心裡深處的問題(文長慎入,“，一個習慣孤單的世界，過去裡這只是一個簡單的往來地圖，零稀的圖釘勾著簡單的棉繩：奮力的母親、疏遠的兄長、課後的親戚、討人厭得班級同學和特別的存在。這世界裡善待我與厭惡我的人不多不少，各半各半。真正與,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:32:16.013000+00:00,1,0,"['慎入', '閒聊', '問題']",閒聊,,[],來自心裡深處問題文長慎入一個習慣孤單世界過去裡這只是一個簡單往來地圖零稀圖釘勾著簡單棉繩奮力母親疏遠兄長課後親戚討人厭得班級同學和特別存在這世界裡善待我與厭惡我人不多不少各半各半真正與,"['來自', '心裡', '深處', '問題', '文長', '慎入', '一個', '習慣', '孤單', '世界', '過去裡', '這', '只是', '一個', '簡單', '往來', '地圖', '零稀', '圖釘', '勾著', '簡單', '棉繩', '奮力', '母親', '疏遠', '兄長', '課後親', '戚討人', '厭得班級', '同學', '和', '特', '別存', '在', '這', '世界', '裡', '善待', '我', '與', '厭惡', '我人', '不多不少', '各半', '各半', '真正', '與']"
1,239692593,心理不平衡,剛剛出去到垃圾，看見隔壁社區有人把車子停在路邊，原來是 Porsche 阿，出來的人貌似年輕，我還在讀研究所 QQ,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:22:47.799000+00:00,2,0,[],閒聊,,[],心理不平衡剛剛出去到垃圾看見隔壁社區有人把車子停在路邊原來是Porsche阿出來人貌似年輕我還在讀研究所QQ,"['心理', '不', '平衡', '剛剛', '出去', '到', '垃圾', '看見', '隔壁', '社區', '有', '人', '把', '車子', '停', '在', '路邊', '原來', '是', 'Porsche', '阿', '出來', '人貌', '似', '年輕', '我還', '在讀', '研究', '所', 'QQ']"
2,239692589,有關最近的柬埔寨詐騙、綁架的想法,這裡不討論怎麼會有人這麼傻被騙去當地！，他已經被綁架、被毆打、被賣掉了或是被發生更糟的事情！！，如果你家人遇到了怎麼辦？求助無門怎麼辦？？這裡我只想表達我會去做的事情！，《如果我致親致愛的家人被發生這,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:22:19.693000+00:00,3,0,"['柬埔寨', '詐騙', '綁架']",閒聊,,[],有關最近柬埔寨詐騙綁架想法這裡不討論怎麼會有人這麼傻被騙去當地他已經被綁架被毆打被賣掉了或是被發生更糟事情如果你家人遇到了怎麼辦求助無門怎麼辦這裡我只想表達我會去做事情如果我致親致愛家人被發生這,"['有關', '最近', '柬埔寨', '詐騙', '綁', '架', '想法', '這裡', '不', '討論', '怎麼', '會', '有', '人', '這麼', '傻', '被', '騙', '去', '當地', '他', '已經', '被', '綁', '架', '被', '毆', '打', '被', '賣', '掉', '了', '或是', '被', '發生', '更', '糟', '事情', '如果', '你家', '人遇', '到', '了', '怎麼辦', '求助', '無門', '怎麼辦', '這裡', '我', '只', '想表達', '我會', '去', '做', '事情', '如果', '我致', '親致', '愛家', '人', '被', '發生', '這']"
3,239692575,無名小站❤️名歌曲,安安，我記得無名小站很多辣妹的音樂，都喜歡放一首《Black Cat》很好聽，但是，現在都找不到了🥲🥲來求一下，有沒有同齡的美女知道這首尋歌 感謝,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:20:45.149000+00:00,2,0,"['歌曲', '感情', '有趣', '閒聊', '女孩']",閒聊,,[],無名小站❤️名歌曲安安我記得無名小站很多辣妹音樂都喜歡放一首BlackCat很好聽但是現在都找不到了🥲🥲來求一下有沒有同齡美女知道這首尋歌感謝,"['無名', '小站', '❤', '️', '名歌', '曲', '安安', '我', '記得', '無名', '小站', '很多', '辣妹', '音樂', '都', '喜歡', '放', '一首', 'BlackCat', '很', '好聽', '但是', '現在', '都', '找', '不到', '了', '\U0001f972', '\U0001f972', '來求', '一', '下有', '沒有', '同齡', '美女', '知道', '這首', '尋歌', '感謝']"
4,239692573,想問問處女座的男生(⁎⁍̴̛ᴗ⁍̴̛⁎),我想請問一下 網路上認識一個處女座男生，我們沒有見面過 但是會聊天，之前可能有一搭沒一搭的聊，最近發現他會頻繁打電話給我，然後會說一些我不知道是曖昧的話還怎樣，他老是喜歡嫌棄我 又說他很樂意給我吵啊，,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:20:29.390000+00:00,5,0,"['問問', '處女座', '男生', '感情', '閒聊']",閒聊,,[],想問問處女座男生⁎⁍̴̛ᴗ⁍̴̛⁎我想請問一下網路上認識一個處女座男生我們沒有見面過但是會聊天之前可能有一搭沒一搭聊最近發現他會頻繁打電話給我然後會說一些我不知道是曖昧話還怎樣他老是喜歡嫌棄我又說他很樂意給我吵啊,"['想', '問問', '處', '女座', '男生', '⁎', '⁍', '̴', '̛', 'ᴗ', '⁍', '̴', '̛', '⁎', '我', '想', '請', '問一', '下網', '路上', '認識', '一個', '處', '女座', '男生', '我們', '沒有', '見', '面過', '但是', '會聊天', '之前', '可能', '有', '一', '搭', '沒', '一', '搭', '聊', '最近', '發現', '他', '會', '頻繁', '打電話', '給我', '然後', '會', '說', '一些', '我', '不知道', '是', '曖昧', '話還', '怎樣', '他', '老', '是', '喜歡', '嫌棄', '我', '又', '說', '他', '很樂', '意給', '我', '吵', '啊']"
5,239692564,在飯店拍商品照,想請問在飯店是可以拍商品照的嗎，是會另外收費還是只要徵求同意就好，還是說是禁止的呢，再麻煩各位解惑了謝謝,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:19:38.501000+00:00,1,1,"['飯店', '商品', '旅館', '攝影']",閒聊,,[],在飯店拍商品照想請問在飯店是可以拍商品照嗎是會另外收費還是只要徵求同意就好還是說是禁止呢再麻煩各位解惑了謝謝,"['在', '飯店', '拍', '商品', '照想', '請', '問在', '飯店', '是', '可以', '拍', '商品', '照', '嗎', '是', '會', '另外', '收費', '還是', '只要', '徵求', '同意', '就', '好', '還是', '說', '是', '禁止', '呢', '再', '麻煩', '各位', '解惑', '了', '謝謝']"
6,239692558,@@到底代表什麼意思,我上網爬文，有人說是崇拜？有人說是暈倒？有人說是疑惑？有人說是迷惘？有人說是驚訝？也有人說是傻眼的意思？請問到底是哪個 我跟朋友或是曖昧對象聊，都會想說 他這樣語氣到底是什麼意思🥲，舉例！，1.我跟對,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:18:13.702000+00:00,7,0,"['感情', '男生', '宅宅', '動漫', '請益']",閒聊,,[],到底代表什麼意思我上網爬文有人說是崇拜有人說是暈倒有人說是疑惑有人說是迷惘有人說是驚訝也有人說是傻眼意思請問到底是哪個我跟朋友或是曖昧對象聊都會想說他這樣語氣到底是什麼意思🥲舉例1我跟對,"['到底', '代表', '什麼', '意思', '我', '上網', '爬', '文有', '人', '說', '是', '崇拜', '有', '人', '說', '是', '暈倒', '有', '人', '說', '是', '疑惑', '有', '人', '說', '是', '迷惘', '有', '人', '說', '是', '驚訝', '也', '有', '人', '說', '是', '傻眼', '意思', '請問', '到底', '是', '哪個', '我', '跟', '朋友', '或是', '曖昧', '對象', '聊', '都', '會', '想', '說', '他', '這樣', '語氣', '到底', '是', '什麼', '意思', '\U0001f972', '舉例', '1', '我', '跟', '對']"
7,239692540,麻煩滾去時事板好嗎？,這裡是聊聊日常生活的地方，聊聊生活上的趣事。我不在乎你們的政治理念，或是想看誰的笑話，我不在乎林智堅是誰，我不在乎，你們想吵架，出門右轉，時事板在那裡，滾好嗎？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:14:53.349000+00:00,5,3,"['麻煩', '閒聊']",閒聊,,[],麻煩滾去時事板好嗎這裡是聊聊日常生活地方聊聊生活上趣事我不在乎你們政治理念或是想看誰笑話我不在乎林智堅是誰我不在乎你們想吵架出門右轉時事板在那裡滾好嗎,"['麻煩', '滾', '去', '時事板', '好', '嗎', '這裡', '是', '聊聊', '日', '常生', '活', '地方', '聊聊', '生活', '上趣', '事', '我', '不在乎', '你們', '政治理念', '或是', '想', '看', '誰', '笑', '話', '我', '不在乎', '林智堅', '是', '誰', '我', '不在乎', '你們', '想', '吵架', '出門', '右轉', '時事板', '在', '那裡', '滾', '好', '嗎']"
8,239692507,會定期清理洗衣機和過濾網嗎？,想了解一下，因為我家是沒清過（洗衣機），可朋友說最少一個月要洗洗衣機，一個禮拜洗過濾網～,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:09:10.296000+00:00,1,2,"['清理', '洗衣機']",閒聊,,[],會定期清理洗衣機和過濾網嗎想了解一下因為我家是沒清過洗衣機可朋友說最少一個月要洗洗衣機一個禮拜洗過濾網,"['會', '定期', '清理', '洗衣機', '和', '過濾網', '嗎', '想', '了解', '一下', '因為', '我家', '是', '沒清過', '洗衣機', '可朋友', '說', '最少', '一個月', '要', '洗', '洗', '衣機', '一個', '禮拜', '洗過', '濾網']"
9,239692493,搭乘手扶梯,很像問大家，搭乘手扶梯的時候 會固定站右邊嗎，還是也會站左邊呢？如果趕時間走手扶梯，遇到有人站左邊，會不會覺得很火大？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-13 10:06:24.301000+00:00,4,1,"['手扶梯', '閒聊']",閒聊,,[],搭乘手扶梯很像問大家搭乘手扶梯時候會固定站右邊嗎還是也會站左邊呢如果趕走手扶梯遇到有人站左邊會不會覺得很火大,"['搭', '乘', '手扶', '梯', '很', '像問', '大家', '搭', '乘', '手扶', '梯時', '候會', '固定', '站', '右邊', '嗎', '還是', '也', '會', '站', '左邊', '呢', '如果', '趕走', '手扶', '梯遇', '到', '有', '人', '站', '左邊', '會不會', '覺得', '很火大']"
