留言名字,回覆內容
"

chiang

","

各位知道我們設立給分功能的意義嗎?給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵但是現在卻變成很多人拿來玩樂的一種工具，失去的它原本設計的目的我在此誠懇的呼籲，不要再亂用給分系統了，如果你真的很愛這個功能，你應該去把分數給真正發表分享文的網友，或是去參與他文章回文，給這些分享者一點鼓勵各位都會說01好文章越來越少，這都是因為少了各位的支持跟鼓勵，讓這些分享者少了動力，如果你寫了一篇好文章，沒人參與也沒人給分，我想幾次後你也會沒動力我希望夠過溝通跟溫情喊話能讓大家改變使用習慣，不要讓我們用規定或強制拿掉這個功能的方式來處理問題，我不認爲這種方式是最好的解決方法，再次呼籲大家幫忙，多給發文者鼓勵，不要再亂用給分功能，拜託

"
"

哪有姑娘不戴花

","
chiang wrote:各位知道我們設立給分(恕刪)
我不會隨便給人分數的除非他真的寫得很爛，我才會給5分
"
"

Shirley6790

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的(恕刪)
搶頭香的寫得太好笑了我覺得很好笑 這樣可以加5分嗎
"
"

chiang

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的除非他真的寫得很爛，我才會給5分
拜託，不要再這樣做了Shirley6790 wrote:我覺得很好笑 這樣可以加5分嗎
不行
"
"

喬大叔

","
chiang wrote:各位知道我們設立給分功能的意義嗎?給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵但是現在卻變成很多人拿來玩樂的一種工具，失去的它原本設計的目的我在此誠懇的呼籲，不要再亂用給分系統了，如果你真的很愛這個功能，你應該去把分數給真正發表分享文的網友，或是去參與他文章回文，給這些分享者一點鼓勵各位都會說01好文章越來越少，這都是因為少了各位的支持跟鼓勵，讓這些分享者少了動力，如果你寫了一篇好文章，沒人參與也沒人給分，我想幾次後你也會沒動力我希望夠過溝通跟溫情喊話能讓大家改變使用習慣，不要讓我們用規定或強制拿掉這個功能的方式來處理問題，我不認爲這種方式是最好的解決方法，再次呼籲大家幫忙，多給發文者鼓勵，不要再亂用給分功能，拜託
好喔...
"
"

Shirley6790

","
chiang wrote:不行(恕刪)
我就知道
"
"

handful

","
喬大叔 wrote:好喔...(恕刪)
喬哥認真回文，好想給分喔... 
"
"

handful

","
Shirley6790 wrote:我就知道(恕刪)
雪莉妹說出真心話，跟我想法一致，也好想給分啊.... 
"
"

喬大叔

","
handful wrote:雪莉妹說出真心話，跟(恕刪)
handful wrote:喬哥認真回文，好想給...(恕刪)
再玩就壞掉了...chiang wrote:不要讓我們用規定或強制拿掉這個功能的方式來處理問題
"
"

a79625

","
chiang wrote:給分功能設立之初是希望能夠給寫好文章的人，
已幫蔣大+5我真心覺得這篇是好文章 ^_^
"
"

哈拉伯

","
哪有姑娘不戴花 wrote:除非他真的寫得很爛，我才會給5分
我的積分應該都是你給的
"
"

davidchange

","
chiang wrote:各位知道我們設立給分...(恕刪)
蔣大問題是好文爛文沒一個標準啊
"
"

iamaminimalist

","
davidchange wrote:蔣大問題是好文爛文沒(恕刪)
這問題很好解決給分裡加上負數選項就好了
"
"

哪有姑娘不戴花

","
哈拉伯 wrote:我的積分應該都是你給(恕刪)
你想太多了，我一直都覺得你的廢文夠水準絕對稱不上爛外星貓的就真的爛透了~~~XDDDD
"
