,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239733161,請問爲何拍照畫面會長這樣,手機使用i13，畫面很正常但用手機照就會這樣，求解～,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:25:25.257000+00:00,2,0,"['請問', '拍照', '畫面']",閒聊,,[],請問爲何拍照畫面會長這樣手機使用i13畫面很正常但用手機照就會這樣求解,"['請問', '爲', '何', '拍', '照畫', '面會長', '這樣', '手機', '使用', 'i13', '畫面', '很', '正常', '但', '用', '手機', '照', '就', '會', '這樣', '求解']"
1,239733131,身高,想問一下各位哥哥姊姊身邊有沒有例子是高中還有抽高的呢？小弟今年要升高一 很多同儕身高都175up，希望高中還能在長一點點🤏，謝謝你們的回答‍️,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:20:41.009000+00:00,6,0,['身高'],閒聊,,[],身高想問一下各位哥哥姊姊身邊有沒有例子是高中還有抽高呢小弟今年要升高一很多同儕身高都175up希望高中還能在長一點點🤏謝謝你們回答‍️,"['身高', '想問', '一下', '各位', '哥哥', '姊姊', '身邊', '有', '沒有', '例子', '是', '高中', '還有', '抽高', '呢', '小弟', '今年', '要', '升高', '一', '很多', '同儕', '身高', '都', '175up', '希望', '高中', '還能', '在', '長', '一點點', '\U0001f90f', '謝謝', '你們', '回答', '\u200d', '️']"
2,239733120,什麼是美,美是天氣？ 光影？ 心情？ 物質？ 聲音？ 味道？是具像？是抽象？美是實？是虛？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:19:02.532000+00:00,2,1,[],閒聊,,[],什麼是美美是天氣光影心情物質聲音味道是具像是抽象美是實是虛,"['什麼', '是', '美美是', '天氣', '光影', '心情', '物質', '聲音', '味道', '是', '具', '像是', '抽象', '美是', '實是', '虛']"
3,239733119,獨立到底誰在喊的,如題喔，我雖然不太關係這東西啦，但是畢竟工作是屬於財經界，不得不討論兩岸的問題，據我所知不管是藍是綠，都沒有看到有人正大光明講我們就是要獨立，只聽過 我們是國家，或是我們反對一國兩制大概這樣，不過倒是,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:18:51.216000+00:00,2,0,"['感情', '工作', '時事', '閒聊', '請益']",閒聊,,[],獨立到底誰在喊如題喔我雖然不太關係這東西啦但是畢竟工作是屬於財經界不得不討論兩岸問題據我所知不管是藍是綠都沒有看到有人正大光明講我們就是要獨立只聽過我們是國家或是我們反對一國兩制大概這樣不過倒是,"['獨立', '到底', '誰', '在', '喊', '如題', '喔', '我', '雖然', '不', '太', '關係', '這東西', '啦', '但是', '畢竟', '工作', '是', '屬於', '財經界', '不得不', '討論', '兩岸', '問題', '據', '我', '所知', '不管', '是', '藍', '是', '綠', '都', '沒有', '看到', '有', '人', '正大', '光明', '講', '我們', '就是', '要', '獨立', '只', '聽過', '我們', '是', '國家', '或是', '我們', '反對', '一國兩制', '大概', '這樣', '不過', '倒', '是']"
4,239733059,如何稱呼複姓的朋友,最近取名文很多那就來順便問，若有個朋友叫「歐陽x」或是「諸葛X」那會直接稱呼全名、或單叫姓或名嗎？個人習慣是直接喊姓（直接叫歐陽），不知道大家習慣如何,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:09:56.722000+00:00,15,9,"['稱呼', '朋友']",閒聊,,[],如何稱呼複姓朋友最近取名文很多那就來順便問若有個朋友叫歐陽x或是諸葛X那會直接稱呼全名或單叫姓或名嗎個人習慣是直接喊姓直接叫歐陽不知道大家習慣如何,"['如何', '稱呼', '複', '姓', '朋友', '最近', '取名', '文', '很多', '那', '就', '來', '順便', '問若', '有個', '朋友', '叫', '歐陽', 'x', '或是', '諸葛', 'X', '那會', '直接', '稱呼', '全名', '或單', '叫', '姓', '或', '名', '嗎', '個人', '習慣', '是', '直接', '喊', '姓', '直接', '叫', '歐陽', '不知道', '大家', '習慣', '如何']"
5,239733054,原來真的會有妹子在車上睡著頭靠在旁邊的肩膀上,這件事我真的印象超深刻的，小妹我以前高中去日本玩，搭他們的新幹線（其實我不確定是不是新幹線他們的車種超多），座位是那種三個位置靠在一起的，車廂裡面雖然有開空調，可是很溫暖讓人超想睡覺，那時候大概晚上七,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:09:02.785000+00:00,3,4,[],閒聊,,[],原來真會有妹子在車上睡著頭靠在旁邊肩膀上這件事我真印象超深刻小妹我以前高中去日本玩搭他們新幹線其實我不確定是不是新幹線他們車種超多座位是那種三個位置靠在一起車廂裡面雖然有開空調可是很溫暖讓人超想睡覺那時候大概晚上七,"['原來', '真會', '有', '妹子', '在', '車上', '睡', '著頭', '靠', '在', '旁邊', '肩膀', '上', '這件', '事', '我', '真', '印象', '超深刻', '小妹', '我', '以前', '高中', '去日', '本玩', '搭', '他們', '新', '幹線', '其實', '我', '不', '確定', '是', '不是', '新', '幹線', '他們', '車種', '超多', '座位', '是', '那種', '三個', '位置', '靠', '在', '一起', '車廂裡面', '雖然', '有', '開空調', '可是', '很溫', '暖', '讓', '人', '超想', '睡覺', '那', '時候', '大概', '晚上', '七']"
6,239732995,求 那個奶子有那麼大 梗圖系列,每次在Dcard滑文章，都會被這種搞笑貓貓戳到笑點，記得看過一系列的，可是現在硬要回去找找不到了，求有收藏此系列的大大分享！！！，最常看到的：,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 05:01:05.630000+00:00,3,7,"['梗圖', '有趣', '奶子']",閒聊,,"[{'url': 'https://imgur.com/acE6XMn.jpg'}, {'url': 'https://imgur.com/smrnkvw.jpg'}, {'url': 'https://imgur.com/3JbJfkJ.jpg'}]",求那個奶子有那麼大梗圖系列每次在Dcard滑文章都會被這種搞笑貓貓戳到笑點記得看過一系列可是現在硬要回去找找不到了求有收藏此系列大大分享最常看到,"['求', '那個', '奶子', '有', '那麼', '大梗圖', '系列', '每次', '在', 'Dcard', '滑文章', '都', '會', '被', '這種', '搞', '笑', '貓貓', '戳', '到', '笑點', '記得', '看過', '一系列', '可是', '現在', '硬要', '回去', '找', '找', '不到', '了', '求', '有', '收藏', '此系列', '大大', '分享', '最', '常看到']"
7,239732972,專板板規怎麼毛一堆,還是只回文就好了，發文有夠麻煩,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 04:57:37.898000+00:00,1,0,"['板規', '站規']",閒聊,,[],專板板規怎麼毛一堆還是只回文就好了發文有夠麻煩,"['專板', '板規', '怎麼', '毛', '一堆', '還是', '只', '回文', '就', '好', '了', '發文', '有夠', '麻煩']"
8,239732938,交友軟體大雷點！拜託不要再用雪餅！！,本文獻給交友軟體新手還有交友軟體老手🧔，對新手來說呢，本文可以作為交友軟體指南，告訴你要如何避開交友軟體的大禁忌，讓你交友一路順遂油門催到底，對老手來說呢，我將會統整各種交友軟體上浮濫的圖像和自介等等,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 04:53:53.502000+00:00,0,5,"['交友', '軟體', '感情', '時事', '有趣']",閒聊,,[],交友軟體大雷點拜託不要再用雪餅本文獻給交友軟體新手還有交友軟體老手🧔對新手來說呢本文可以作為交友軟體指南告訴你要如何避開交友軟體大禁忌讓你交友一路順遂油門催到底對老手來說呢我將會統整各種交友軟體上浮濫圖像和自介等等,"['交友', '軟體', '大雷點', '拜', '託', '不要', '再用', '雪餅', '本文獻給', '交友', '軟體', '新手', '還有', '交友', '軟體', '老手', '🧔', '對', '新手', '來說', '呢', '本文', '可以', '作為', '交友', '軟體', '指南', '告訴', '你', '要', '如何', '避開', '交友', '軟體', '大禁忌', '讓你', '交友', '一路', '順遂', '油門', '催', '到底', '對', '老手', '來說', '呢', '我', '將會', '統整', '各種', '交友', '軟體', '上浮', '濫', '圖像', '和', '自介', '等', '等']"
9,239732920,為什麼那麼多人被騙去柬埔寨？活該嗎？,新聞上到處都看得到台灣人民被騙去柬埔寨 真的是他們活該嗎？為什麼會被騙去呢？因為太過貪婪嗎？ 即便他們明知道過去是做詐騙，那為什麼會想去？還不是因為高薪的幌子，為什麼為了錢過去？我個人覺得因為經濟壓力,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 04:50:19.977000+00:00,2,1,"['被騙', '柬埔寨']",閒聊,,[],為什麼那麼多人被騙去柬埔寨活該嗎新聞上到處都看得到台灣人民被騙去柬埔寨真是他們活該嗎為什麼會被騙去呢因為太過貪婪嗎即便他們明知道過去是做詐騙那為什麼會想去還不是因為高薪幌子為什麼為了錢過去我個人覺得因為經濟壓力,"['為什麼', '那麼', '多', '人', '被', '騙', '去', '柬埔寨', '活該', '嗎', '新聞', '上', '到處', '都', '看', '得到', '台灣', '人民', '被', '騙', '去', '柬埔寨', '真', '是', '他們', '活該', '嗎', '為什麼', '會', '被', '騙', '去', '呢', '因為', '太過', '貪婪', '嗎', '即便', '他們', '明', '知道', '過去', '是', '做', '詐', '騙', '那', '為什麼', '會想', '去還', '不是', '因為', '高薪', '幌子', '為什麼', '為', '了', '錢過', '去', '我', '個人', '覺得', '因為', '經濟', '壓力']"
