,發文ID,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
0,ecb449b1-bf97-42d8-a378-10d9b749e542,240327390,2022-10-24 05:38:54.325000+00:00,2022-10-24T05:38:54.325Z,如果不考慮好不好吃🤣wwwdcardtwftalkp240243637cidC45BFB02C5C24E5CA3320BB7005B85E5,0.0,"['如果', '不', '考慮', '好不好', '吃', '🤣', 'wwwdcardtwftalkp240243637cidC45BFB02C5C24E5CA3320BB7005B85E5']"
1,e741e435-c0d0-4f95-8a53-b57d41cf7636,240327343,2022-10-24 05:25:36.888000+00:00,2022-10-24T05:25:36.888Z,自從知道百頁豆腐不是豆腐就不點了但看起來還是好好吃stickerassetsdcardtwimages895343efe5d2422d96462249e1origpng,1.0,"['自從', '知道', '百頁', '豆腐', '不是', '豆腐', '就', '不點', '了', '但', '看', '起來', '還是', '好', '好吃', 'stickerassetsdcardtwimages895343efe5d2422d96462249e1origpng']"
2,736d037d-a4ec-4600-a73f-ef602f23be60,240327299,2022-10-24 05:26:28.451000+00:00,2022-10-24T05:26:28.451Z,終於搶到了感動,0.0,"['終於', '搶', '到', '了', '感動']"
3,81e60aa0-def7-4b88-a4ba-7e67b50f9e87,240327299,2022-10-24 05:28:02.323000+00:00,2022-10-24T05:28:02.323Z,已填好期待,0.0,"['已', '填好', '期待']"
4,ef9e98a4-166b-46f2-b17b-69dc30e32c06,240327299,2022-10-24 05:47:58.043000+00:00,2022-10-24T05:47:58.043Z,已填,0.0,"['已', '填']"
5,f58935fd-47e8-4ef9-9bf5-7bc3a4b542e7,240327299,2022-10-24 06:07:43.326000+00:00,2022-10-24T06:07:43.326Z,已填☺️☺️☺️,0.0,"['已', '填', '☺', '️', '☺', '️', '☺', '️']"
6,27395159-d565-4937-8703-f69cbe1760b8,240327299,2022-10-24 06:13:11.662000+00:00,2022-10-24T06:13:11.662Z,好可惜不能自取,0.0,"['好', '可惜', '不能', '自取']"
7,2297b486-148b-40d9-a424-a463139d84fe,240327299,2022-10-24 06:32:46.201000+00:00,2022-10-24T06:32:46.201Z,請問一般可以試吃幾種可麗露,0.0,"['請問', '一般', '可以', '試吃', '幾種', '可麗露']"
8,cfc471c7-c3d4-4a13-829a-393e73df546b,240327299,2022-10-24 06:34:05.984000+00:00,2022-10-24T06:34:05.984Z,好想吃可惜在桃園⌒⌒,0.0,"['好', '想', '吃', '可惜', '在', '桃園', '⌒', '⌒']"
9,782c9005-c21d-4117-982a-e209dcd6bc41,240327299,2022-10-24 06:36:15.044000+00:00,2022-10-24T06:36:15.044Z,表單關閉感謝大家˶‾᷄⁻̫‾᷅˵今晚會再陸續通知,0.0,"['表單', '關閉', '感謝', '大家', '˶', '‾', '᷄', '⁻', '̫', '‾', '᷅', '˵', '今晚', '會', '再', '陸續', '通知']"
10,e8e8ffff-f7ea-4f9f-95d7-33c717d38927,240327299,2022-10-24 06:43:09.076000+00:00,2022-10-24T06:43:09.076Z,可惡沒辦法自取🥹,0.0,"['可惡', '沒辦法', '自取', '\U0001f979']"
11,33bd405c-7779-41c9-ab13-4f627aac3407,240327299,2022-10-24 06:46:59.481000+00:00,2022-10-24T06:46:59.481Z,請問可麗露是本來就吃起來就有一個味道嗎還有酒味⋯⋯⋯去了評價很好店⋯但吃一口就嚇到了⋯,0.0,"['請問', '可麗露', '是', '本來', '就', '吃起', '來', '就', '有', '一個', '味道', '嗎', '還有', '酒味', '⋯', '⋯', '⋯', '去', '了', '評價', '很', '好', '店', '⋯', '但', '吃', '一口', '就', '嚇到', '了', '⋯']"
12,a543d541-18ea-435d-8d85-1561abf87304,240327299,2022-10-24 06:55:28.566000+00:00,2022-10-24T06:55:28.566Z,可惡來不及填就關閉了´༎ຶД༎ຶ,0.0,"['可惡', '來不及', '填', '就', '關閉', '了', '´', '༎', 'ຶ', 'Д', '༎', 'ຶ']"
13,1ec127d6-f48d-477a-89b2-98ef97c2f5d9,240327173,2022-10-24 05:19:21.169000+00:00,2022-10-24T05:19:21.169Z,通報📢好像有人對這篇文章有新想法唷快來去看看wwwdcardtwftaichungp240327304,0.0,"['通報', '📢', '好像', '有', '人', '對', '這篇', '文章', '有', '新', '想法', '唷', '快來', '去', '看', '看', 'wwwdcardtwftaichungp240327304']"
14,15c6b89b-166f-430a-980d-28a9fe721476,240327144,2022-10-24 06:54:24.547000+00:00,2022-10-24T06:54:24.547Z,東華麥味登薯餅真讚,0.0,"['東華麥味', '登薯餅', '真', '讚']"
15,9594d2a6-9cc0-4ef4-9058-611d240a22d0,240327117,2022-10-24 05:01:10.140000+00:00,2022-10-24T05:01:10.140Z,所以是禮拜二下午沒課嗎我是禮拜三😢😢,0.0,"['所', '以是', '禮拜', '二', '下午', '沒課', '嗎', '我', '是', '禮拜', '三', '😢', '😢']"
17,16eb647a-0660-4608-87dc-a041322b4df3,240325913,2022-10-24 02:14:35.324000+00:00,2022-10-24T02:14:35.324Z,2Robin’s,0.0,"['2Robin', '’', 's']"
19,b11877b4-7fb7-402e-9149-bd0d18e0a5a8,240325316,2022-10-24 00:20:41.308000+00:00,2022-10-24T00:20:41.308Z,英國食物真是讓人食慾大減那個洞洞鬆餅看起來好恐怖😱,66.0,"['英國', '食物', '真', '是', '讓', '人食', '慾', '大減', '那個', '洞', '洞', '鬆', '餅', '看', '起', '來', '好', '恐怖', '😱']"
20,e7a50a28-1900-41b9-a08e-a33a9b349023,240325316,2022-10-24 00:51:45.850000+00:00,2022-10-24T00:52:05.776Z,甜點部分看下來只有甜跟超甜兩種感覺XD感謝分享希望明年我去英國不會踩雷🤣,33.0,"['甜點', '部分', '看', '下來', '只有', '甜', '跟', '超甜', '兩種', '感覺', 'XD', '感謝', '分享', '希望', '明年', '我', '去', '英國', '不會', '踩', '雷', '🤣']"
21,a3d43192-a4ca-468c-a771-de9326053eeb,240325316,2022-10-24 02:53:41.940000+00:00,2022-10-24T02:53:41.940Z,好有趣XD我下週要去倫敦玩感覺也可以逛個超市btw倫敦BrickLaneBeigelBake賣很多甜點不貴又好吃推起司蛋糕,5.0,"['好', '有趣', 'XD', '我', '下週', '要', '去', '倫敦', '玩', '感覺', '也', '可以', '逛個', '超市', 'btw', '倫敦', 'BrickLaneBeigelBake', '賣', '很多', '甜點', '不貴', '又', '好吃', '推起司', '蛋', '糕']"
22,2bbd812a-4246-4a44-b461-fb35c61b76e3,240325316,2022-10-24 02:59:09.504000+00:00,2022-10-24T02:59:09.504Z,那個mm蛋糕一定甜到炸,3.0,"['那個', 'mm', '蛋糕', '一定', '甜到', '炸']"
23,3905c540-acf1-4f86-bb62-b74b895c8853,240325316,2022-10-24 03:47:40.809000+00:00,2022-10-24T03:47:40.809Z,怎麼會有包裝被拆開這種鳥事🥹,4.0,"['怎麼', '會', '有', '包裝', '被', '拆開', '這種', '鳥事', '\U0001f979']"
24,9d4a1923-e187-432c-bdb0-e157104d6e71,240325316,2022-10-24 03:53:56.073000+00:00,2022-10-24T03:54:21.196Z,好喜歡看各個國家超市商品太有趣了mms恐龍蛋糕好棒喔那個洞洞鬆餅好特別真想吃看看滑到冰櫃照片立刻大笑🤣🤣🤣,1.0,"['好', '喜歡', '看', '各個', '國家', '超市', '商品', '太有趣', '了', 'mms', '恐龍蛋', '糕', '好', '棒', '喔', '那個', '洞', '洞', '鬆', '餅', '好', '特', '別', '真', '想', '吃', '看', '看', '滑', '到', '冰櫃', '照片', '立刻', '大笑', '🤣', '🤣', '🤣']"
25,e237c5b5-0318-4f5a-8c30-bd56372f4a88,240325316,2022-10-24 03:58:23.328000+00:00,2022-10-24T03:59:54.380Z,很冷冰淇淋我快笑死隔著螢幕我都能感覺到冰淇淋在發抖了,6.0,"['很', '冷', '冰淇淋', '我', '快', '笑', '死', '隔', '著', '螢幕', '我', '都', '能', '感覺', '到', '冰淇淋', '在', '發抖', '了']"
26,952c0f2a-cfcd-4864-8ddd-05f827a234ec,240325316,2022-10-24 05:02:26.980000+00:00,2022-10-24T05:02:26.980Z,看起來好減食慾😂希望我明年去愛爾蘭有好一點嗚嗚,0.0,"['看起', '來', '好', '減食', '慾', '😂', '希望', '我明', '年', '去', '愛爾蘭', '有', '好', '一點', '嗚嗚']"
27,1824f5a5-14c7-4b5e-a76f-6462c5a11ee8,240325316,2022-10-24 05:07:42.313000+00:00,2022-10-24T05:07:42.313Z,MM蛋糕也太可愛🤣,0.0,"['MM', '蛋糕', '也', '太', '可愛', '🤣']"
28,746c3ca1-0f08-4460-a2fe-d3a63b96f5cc,240325316,2022-10-24 05:49:26.184000+00:00,2022-10-24T05:49:26.184Z,甜點可能MS比較好吃如果喜歡逛超市建議加入台灣人英國超市好物,0.0,"['甜點', '可能', 'MS', '比較', '好吃', '如果', '喜歡', '逛', '超市', '建議', '加入', '台灣人', '英國', '超市', '好物']"
29,812c1e31-9fd2-403b-b10a-d7ce73236520,240325316,2022-10-24 06:52:13.280000+00:00,2022-10-24T06:52:13.280Z,MS一款開心果餅乾聽說很好吃綠色包裝,0.0,"['MS', '一款', '開心', '果餅', '乾', '聽', '說', '很', '好吃', '綠色', '包裝']"
30,1df69bce-5add-42c4-b883-545b14390574,240325316,2022-10-24 07:08:50.523000+00:00,2022-10-24T07:08:50.523Z,謝謝用心分享❤️❤️我也逛好開心咦包裝被拆過機率也太高長知識了😲,0.0,"['謝謝', '用心', '分享', '❤', '️', '❤', '️', '我', '也', '逛', '好開心', '咦', '包裝', '被', '拆過', '機率', '也', '太高長', '知識', '了', '😲']"
31,d7cbc9c7-4c23-4b01-a86c-d9e191486082,240325316,2022-10-24 07:15:45.110000+00:00,2022-10-24T07:15:45.110Z,很冷冰淇淋好好笑XDD,0.0,"['很', '冷', '冰淇淋', '好好笑', 'XDD']"
32,4a5161ae-7606-43a3-b15b-dd7c33c6ef94,240325060,2022-10-24 02:49:17.671000+00:00,2022-10-24T02:49:17.671Z,南紡老爺行旅甘粹餐廳雙人套餐有這個而且很大🤣甘粹是半buffet半主餐點為主餐後還可以享用buffet,0.0,"['南紡', '老爺行', '旅甘粹', '餐廳', '雙人', '套餐', '有', '這個', '而且', '很大', '🤣', '甘粹', '是', '半', 'buffet', '半主餐', '點為', '主餐後還', '可以', '享用', 'buffet']"
33,8a8813e5-726e-4e19-8449-b2ea16e1dd94,240324969,2022-10-23 19:56:19.019000+00:00,2022-10-23T19:56:19.019Z,想到路易莎焙茶,0.0,"['想到', '路易', '莎', '焙', '茶']"
34,97381d09-8ccb-47aa-8d41-ea44d42d28ae,240324969,2022-10-23 22:00:34.827000+00:00,2022-10-23T22:00:34.827Z,是要送個討厭人,0.0,"['是', '要', '送個', '討厭', '人']"
