,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239738287,有沒有推薦的燙髮店（嘉義）,嘉義人有推薦的美髮沙龍嗎！，還有設計師！！！,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:27:47.261000+00:00,1,0,"['推薦', '燙髮', '嘉義']",閒聊,,[],有沒有推薦燙髮店嘉義嘉義人有推薦美髮沙龍嗎還有設計師,"['有', '沒有', '推薦', '燙', '髮', '店', '嘉義', '嘉義人', '有', '推薦', '美', '髮', '沙龍', '嗎', '還有', '設計師']"
1,239738285,納豆紅麴是啥,乳題，納豆紅麴到底是啥，家人像是業務一樣一直逼我吃，上網查一堆健康新聞網那種農場文，到底有啥用，求解,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:27:16.608000+00:00,0,0,[],閒聊,,[],納豆紅麴是啥乳題納豆紅麴到底是啥家人像是業務一樣一直逼我吃上網查一堆健康新聞網那種農場文到底有啥用求解,"['納豆紅', '麴', '是', '啥', '乳題', '納豆紅', '麴', '到底', '是', '啥', '家人', '像是', '業務', '一樣', '一直', '逼', '我', '吃', '上網', '查', '一堆', '健康', '新聞網', '那種', '農場', '文', '到底', '有', '啥', '用', '求解']"
2,239738238,外交部是瘋了嗎？,自知理虧就要安靜，與KOL槓上到底有什麼好處？現在是打算火上澆油，越燒越大。不過這樣也好，讓國人謹惕做任何事都要小心。你出事不一定會有人就你包括你自己的國家。,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:22:27.227000+00:00,4,4,"['外交部', '詐騙集團']",閒聊,,[{'url': 'https://imgur.com/HFNnmG8.jpg'}],外交部是瘋了嗎自知理虧就要安靜與KOL槓上到底有什麼好處現在是打算火上澆油越燒越大不過這樣也好讓國人謹惕做任何事都要小心你出事不一定會有人就你包括你自己國家,"['外交部', '是', '瘋', '了', '嗎', '自知理', '虧', '就要', '安靜', '與', 'KOL', '槓上', '到底', '有', '什麼', '好處', '現在', '是', '打算', '火上', '澆油', '越燒', '越大', '不過', '這樣', '也好', '讓', '國人', '謹惕', '做', '任何', '事', '都', '要', '小心', '你', '出事', '不', '一', '定會', '有', '人', '就', '你', '包括', '你', '自己', '國家']"
3,239738186,問 護踝保護力推薦,因為腳踝扭傷，復健師建議我買護踝，去了藥局看只有這種保護力稍微符合條件，上網找發現蠻多人推迪卡儂的，想請問大家有推薦的嗎，預算大概800左右能買到保護力高的嗎（迪卡儂的話）,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:17:39.009000+00:00,0,0,"['問題', '腳踝', '扭傷']",閒聊,,[{'url': 'https://imgur.com/25m6iqO.jpg'}],問護踝保護力推薦因為腳踝扭傷復健師建議我買護踝去了藥局看只有這種保護力稍微符合條件上網找發現蠻多人推迪卡儂想請問大家有推薦嗎預算大概800左右能買到保護力高嗎迪卡儂話,"['問護踝', '保護', '力推', '薦', '因為', '腳踝', '扭傷', '復健', '師', '建議', '我', '買護踝', '去', '了', '藥局', '看', '只有', '這種', '保護', '力', '稍', '微', '符合', '條件', '上網', '找', '發現', '蠻', '多', '人', '推迪卡儂', '想', '請問', '大家', '有', '推薦', '嗎', '預算', '大概', '800', '左右', '能', '買', '到', '保護', '力高', '嗎', '迪卡儂', '話']"
4,239738183,家中有三個藏文的圖，想求問是什麼？,最近搬家發現以前家人曾經有與高僧結緣這三面圖，但是家人已經忘記這三面圖的作用什麼，紅色字的有解釋，其他二面沒有，想請問知道的人幫忙解答，這三面圖有什麼作用？適合擺在家中的那個地方？需要供奉茶水或水果嗎,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:17:26.154000+00:00,1,0,"['請益', '宗教']",閒聊,,"[{'url': 'https://imgur.com/1c84F5t.jpg'}, {'url': 'https://imgur.com/PmFaBgt.jpg'}, {'url': 'https://imgur.com/ckfffuQ.jpg'}]",家中有三個藏文圖想求問是什麼最近搬家發現以前家人曾經有與高僧結緣這三面圖但是家人已經忘記這三面圖作用什麼紅色字有解釋其他二面沒有想請問知道人幫忙解答這三面圖有什麼作用適合擺在家中那個地方需要供奉茶水或水果嗎,"['家中', '有', '三個', '藏文圖', '想求', '問是', '什麼', '最近', '搬家', '發現', '以前', '家人', '曾經', '有', '與', '高僧', '結緣', '這', '三面', '圖', '但是', '家人', '已經', '忘記', '這', '三面', '圖', '作用', '什麼', '紅色', '字', '有', '解釋', '其他', '二面', '沒有', '想', '請問', '知道', '人', '幫忙', '解答', '這', '三面', '圖有', '什麼', '作用', '適合', '擺', '在', '家中', '那個', '地方', '需要', '供奉', '茶水', '或', '水果', '嗎']"
5,239738150,有人看得懂Ubereats的廣告究竟是什麼意思嗎？,完全看不懂他們廣告的意思，而且除了蔡依林、陳漢典、戴資穎跟小S比較有名之外，其他完全不認識，蔡唱歌跳舞的、陳就一個諧星、戴打羽球的、S舔共的，之前一男一女的組合，聽到男的喊比利姐，我還以為KOF的比利,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:14:10.440000+00:00,1,0,[],閒聊,,[],有人看得懂Ubereats廣告究竟是什麼意思嗎完全看不懂他們廣告意思而且除了蔡依林陳漢典戴資穎跟小S比較有名之外其他完全不認識蔡唱歌跳舞陳就一個諧星戴打羽球S舔共之前一男一女組合聽到男喊比利姐我還以為KOF比利,"['有', '人', '看', '得', '懂', 'Ubereats', '廣告', '究竟', '是', '什麼', '意思', '嗎', '完全', '看', '不', '懂', '他們', '廣告', '意思', '而且', '除了', '蔡依林', '陳', '漢典', '戴', '資穎', '跟', '小S', '比較', '有名', '之外', '其他', '完全', '不', '認識', '蔡', '唱歌跳舞', '陳', '就', '一個', '諧星', '戴', '打羽球', 'S', '舔', '共', '之前', '一男一女', '組合', '聽', '到', '男喊', '比利姐', '我', '還以', '為', 'KOF', '比利']"
6,239738130,我想在落地窗前跟你做愛,Our house is a very very fine house，With two cat in the yard，Life used to be so hard，Now everything ,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:12:35.035000+00:00,7,53,"['感情', '男友', '有趣', '閒聊', '男生']",閒聊,,[],我想在落地窗前跟你做愛OurhouseisaveryveryfinehouseWithtwocatintheyardLifeusedtobesohardNoweverything,"['我', '想', '在', '落地', '窗前', '跟', '你', '做愛', 'OurhouseisaveryveryfinehouseWithtwocatintheyardLifeusedtobesohardNoweverything']"
7,239738096,經濟危機加深 埃及央行總裁辭職,（中央社開羅17日綜合外電報導）埃及中央銀行總裁艾默（Tareq Amer）今天辭職，這個阿拉伯世界人口最多的國家經濟危機正日益加深。法新社報導，埃及國營媒體「金字塔報」（Al-Ahram）稱，總統塞,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:09:29.260000+00:00,0,0,"['埃及', '經濟', '總裁', '辭職', '崩潰']",閒聊,,[{'url': 'https://imgur.com/aibKXg1.jpg'}],經濟危機加深埃及央行總裁辭職中央社開羅17日綜合外電報導埃及中央銀行總裁艾默TareqAmer今天辭職這個阿拉伯世界人口最多國家經濟危機正日益加深法新社報導埃及國營媒體金字塔報AlAhram稱總統塞,"['經濟', '危機', '加深', '埃及', '央行', '總裁', '辭職', '中央社', '開羅', '17', '日', '綜合', '外電報導', '埃及', '中央銀行', '總裁', '艾默', 'TareqAmer', '今天', '辭職', '這個', '阿拉伯', '世界', '人口', '最多', '國家', '經濟', '危機', '正日益', '加深', '法新社', '報導', '埃及', '國營', '媒體', '金字塔報', 'AlAhram', '稱', '總統', '塞']"
8,239738094,能治癒憂鬱症的只有自己強大的心,剛剛看到這個新聞，覺得挺好笑的，他不是沒有尋求幫助，他說過那時沒有精神病院敢收，所以當初他能走出來完全都是因為老婆和親友的協助，憂鬱症是真的很可怕，我曾在大樓屋頂邊緣徘徊很久，有個聲音一直不斷告訴我，,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:09:21.960000+00:00,0,1,"['治癒', '憂鬱症']",閒聊,,[],能治癒憂鬱症只有自己強大心剛剛看到這個新聞覺得挺好笑他不是沒有尋求幫助他說過那時沒有精神病院敢收所以當初他能走出來完全都是因為老婆和親友協助憂鬱症是真很可怕我曾在大樓屋頂邊緣徘徊很久有個聲音一直不斷告訴我,"['能治', '癒', '憂鬱症', '只有', '自己', '強大', '心', '剛剛', '看到', '這個', '新聞', '覺得', '挺', '好笑', '他', '不是', '沒有', '尋求', '幫助', '他', '說過', '那時', '沒有', '精神', '病院', '敢', '收', '所以', '當初', '他', '能', '走', '出來', '完全', '都是', '因為', '老婆', '和親', '友', '協助', '憂鬱症', '是', '真', '很', '可怕', '我', '曾', '在', '大樓', '屋頂', '邊緣', '徘徊', '很久', '有個', '聲音', '一直', '不斷', '告訴', '我']"
9,239738021,成都跟杭州哪個生活起來好啊？,是這樣的 趁年輕預計明年要去中國這兩個其中一個城市生活半年 體驗一下不同地方的感覺，老實說想要有夜生活和美食美女，有人在那裡生活過嗎~感覺怎麼樣~,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-18 15:02:26.299000+00:00,1,0,[],閒聊,,[],成都跟杭州哪個生活起來好啊是這樣趁年輕預計明年要去中國這兩個其中一個城市生活半年體驗一下不同地方感覺老實說想要有夜生活和美食美女有人在那裡生活過嗎感覺怎麼樣,"['成都', '跟', '杭州', '哪個', '生活', '起來', '好', '啊', '是', '這樣', '趁', '年輕', '預計明', '年', '要', '去', '中國', '這', '兩個', '其中', '一個', '城市', '生活', '半年', '體驗', '一下', '不同', '地方', '感覺', '老', '實說', '想要', '有', '夜生活', '和', '美食', '美女', '有', '人', '在', '那裡生', '活過', '嗎', '感覺', '怎麼樣']"
