,文章ID,標題,內文簡介,版ID,回應的文章ID,發文時間,回覆數,按讚數,主題標籤,版中文名,回應的文章的標題,媒體連結,所有文,關鍵字
0,239717844,怎麼會這樣,南韓有一名擁有72萬訂閱者的YouTuber，近來被爆料與另外2名同伴到美式餐廳用餐，吃完飯後卻向店家表示「餐點內有頭髮，我女兒腸胃不好現在已經去廁所吐了」要求店家全額退費，豈料後來店家調查後發現，這,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:47:37.418000+00:00,2,10,"['南韓', '奧客', '正妹', 'Youtuber', '時事']",閒聊,,[{'url': 'https://imgur.com/Kq3hCWA.jpg'}],怎麼會這樣南韓有一名擁有72萬訂閱者YouTuber近來被爆料與另外2名同伴到美式餐廳用餐吃完飯後卻向店家表示餐點內有頭髮我女兒腸胃不好現在已經去廁所吐了要求店家全額退費豈料後來店家調查後發現這,"['怎麼', '會', '這樣', '南韓', '有', '一名', '擁有', '72', '萬訂', '閱者', 'YouTuber', '近來', '被', '爆料', '與', '另外', '2', '名', '同伴', '到', '美式', '餐廳', '用餐', '吃完飯', '後', '卻', '向', '店家', '表示', '餐點', '內', '有頭', '髮', '我', '女兒', '腸胃', '不好', '現在', '已經', '去', '廁所', '吐', '了', '要求', '店家', '全額', '退費', '豈料', '後來', '店家', '調查', '後發', '現', '這']"
2,239717802,這是什麼台式糕點,這個我覺得好好吃，是家人帶回來的，但全家人都不知道是什麼，網路也找不到，想問有沒有人知道！，------------------------------------------------------,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:41:47.480000+00:00,16,10,"['台式', '糕點', '點心']",閒聊,,"[{'url': 'https://imgur.com/AUOsYB6.jpg'}, {'url': 'https://imgur.com/nzIHgdL.jpg'}]",這是什麼台式糕點這個我覺得好好吃是家人帶回來但全家人都不知道是什麼網路也找不到想問有沒有人知道,"['這是', '什麼', '台式', '糕點', '這個', '我', '覺得', '好', '好吃', '是', '家人', '帶', '回來', '但', '全家人', '都', '不知道', '是', '什麼', '網路', '也', '找', '不到', '想', '問有', '沒有', '人', '知道']"
3,239717781,快篩陰性但喉嚨不舒服,先生是14號下午有不舒服的，但快篩一條線，不舒服之後就離開去外地隔離，後來晚上他同事先通知已確診，先生當下驗也出現兩條線了。我從14號那天到現在都和他隔離沒有見面，我自己是14號沒事、15號晚上覺得喉,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:38:41.857000+00:00,3,1,"['喉嚨', '不舒服']",閒聊,,[],快篩陰性但喉嚨不舒服先生是14號下午有不舒服但快篩一條線不舒服之後就離開去外地隔離後來晚上他同事先通知已確診先生當下驗也出現兩條線了我從14號那天到現在都和他隔離沒有見面我自己是14號沒事15號晚上覺得喉,"['快篩', '陰性', '但', '喉嚨', '不舒服', '先生', '是', '14', '號', '下午', '有', '不舒服', '但', '快篩', '一條線', '不舒服', '之後', '就', '離開', '去', '外地', '隔離', '後', '來晚', '上', '他', '同', '事先', '通知', '已', '確診', '先生', '當下驗', '也', '出現', '兩條線', '了', '我', '從', '14', '號那天', '到', '現在', '都', '和', '他', '隔離', '沒有', '見面', '我', '自己', '是', '14', '號沒事', '15', '號晚', '上', '覺得', '喉']"
4,239717762,姓方的小孩可以怎麼取名呢？,看到各種姓氏的取名文，也突然很好奇，自己的姓氏可以取什麼名字呢？我覺得自己的名字很普通沒新意，再請大家提供有創意，典雅 好記好聽的名字都可以哦！,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:36:11.724000+00:00,83,6,"['小孩', '取名', '姓氏']",閒聊,,[],姓方小孩可以怎麼取名呢看到各種姓氏取名文也突然很好奇自己姓氏可以取什麼名字呢我覺得自己名字很普通沒新意再請大家提供有創意典雅好記好聽名字都可以哦,"['姓方', '小孩', '可以', '怎麼', '取名', '呢', '看', '到', '各種', '姓氏', '取名', '文', '也', '突然', '很', '好奇', '自己', '姓氏', '可以', '取', '什麼', '名字', '呢', '我', '覺得', '自己', '名字', '很', '普通', '沒新意', '再', '請', '大家', '提供', '有', '創意', '典雅', '好記', '好聽', '名字', '都', '可以', '哦']"
6,239717708,女星老公是人蛇集團首腦？,有很多新聞開始在報導這件事，但我看板上好像沒什麼人或文章在討論這件事..，有徵信社的爆料說首腦是台灣女星的老公，而且手上有很多生意，爆料內容說那位女星在演藝圈20幾年，還有靠演青春愛情偶像劇爆紅 有人,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:30:05.444000+00:00,5,7,[],閒聊,,[],女星老公是人蛇集團首腦有很多新聞開始在報導這件事但我上好像沒什麼人或文章在討論這件事有徵信社爆料說首腦是台灣女星老公而且手上有很多生意爆料內容說那位女星在演藝圈20幾年還有靠演青春愛情偶像劇爆紅有人,"['女星', '老公是', '人蛇', '集團', '首腦', '有', '很多', '新聞', '開始', '在', '報導', '這件', '事', '但', '我', '上', '好像', '沒', '什麼', '人', '或', '文章', '在', '討論', '這件', '事', '有', '徵信社', '爆料', '說', '首腦', '是', '台灣', '女星', '老公而且', '手', '上有', '很多', '生意', '爆料', '內容', '說', '那位', '女星', '在', '演藝圈', '20', '幾年', '還有', '靠', '演青春', '愛情', '偶像劇', '爆紅有', '人']"
7,239717677,拿綠卡超過3年回的去美國嗎,聽說離境6個月內要回美國一次，也聽說有人事先請律師申請1年後回美國的文。但我什麼都沒申請就急著回台灣了，這樣的情況下，有人能順利過海關嗎？如果被收走綠卡，還能重新申請嗎？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:26:20.858000+00:00,1,0,"['綠卡', '美國', '移民', '法律', '法律諮詢']",閒聊,,[],拿綠卡超過3年回去美國嗎聽說離境6個月內要回美國一次也聽說有人事先請律師申請1年後回美國文但我什麼都沒申請就急著回台灣了這樣情況下有人能順利過海關嗎如果被收走綠卡還能重新申請嗎,"['拿', '綠卡', '超過', '3', '年', '回去', '美國', '嗎', '聽', '說', '離境', '6', '個', '月', '內要', '回美國', '一次', '也', '聽', '說', '有', '人', '事先', '請', '律師', '申請', '1', '年後回', '美', '國文', '但', '我', '什麼', '都', '沒', '申請', '就', '急', '著', '回台灣', '了', '這樣', '情況', '下有', '人能', '順利過', '海關', '嗎', '如果', '被', '收', '走', '綠卡', '還能', '重新', '申請', '嗎']"
8,239717651,拔智齒有夠痛,今天去拔右下最後一顆智齒，我不是水平智齒再加上之前拔智齒的速度都很快，以為這顆智齒會在十分鐘內完成，但這顆實在太大又有倒勾，拔牙過程下巴太痠了一度有休息，花了 1個小時才拔掉，因為傷口大需要縫線，折騰,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:22:31.975000+00:00,2,0,['智齒'],閒聊,,"[{'url': 'https://imgur.com/VuXCQWq.jpg'}, {'url': 'https://imgur.com/iJdGQt7.jpg'}]",拔智齒有夠痛今天去拔右下最後一顆智齒我不是水平智齒再加上之前拔智齒速度都很快以為這顆智齒會在十分鐘內完成但這顆實在太大又有倒勾拔牙過程下巴太痠了一度有休息花了1個小時才拔掉因為傷口大需要縫線折騰,"['拔智齒', '有夠', '痛', '今天', '去', '拔', '右', '下', '最', '後', '一顆', '智齒', '我', '不是', '水平智齒', '再', '加上', '之前', '拔智齒', '速度', '都', '很快', '以為', '這顆', '智齒會', '在', '十分鐘', '內', '完成', '但', '這顆', '實在', '太大', '又', '有', '倒勾', '拔牙', '過程', '下巴', '太', '痠', '了', '一度', '有', '休息', '花', '了', '1', '個', '小時', '才', '拔', '掉', '因為', '傷口', '大', '需要', '縫線', '折騰']"
9,239717647,背部紅疹,不會癢也沒有感覺想問一下有人也是類似的症狀嗎，本身是會常常流汗的體質，有沒有可能是因為太悶熱造成的毛囊發炎,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:21:18.875000+00:00,0,0,"['背部', '紅疹']",閒聊,,[{'url': 'https://imgur.com/ciiww9P.jpg'}],背部紅疹不會癢也沒有感覺想問一下有人也是類似症狀嗎本身是會常常流汗體質有沒有可能是因為太悶熱造成毛囊發炎,"['背部', '紅疹', '不會', '癢', '也', '沒有', '感覺', '想', '問一', '下有', '人', '也', '是', '類似', '症狀', '嗎', '本身', '是', '會常', '常流', '汗', '體質', '有', '沒有', '可能', '是', '因為', '太', '悶熱', '造成', '毛囊', '發炎']"
10,239717577,情侶間的通訊軟體,和男友交往一年多，我們都是用IG作為主要的通訊軟體。只要有朋友聽到這件事或是看到我用IG跟男友講話都會表示，：這也太怪了吧！Σ（=Д=；不過原本就是從IG回限時動態開始聊天，交往後繼續用IG應該很合理,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:13:48.435000+00:00,7,2,"['情侶', '通訊軟體', '聊天', '感情']",閒聊,,[],情侶間通訊軟體和男友交往一年多我們都是用IG作為主要通訊軟體只要有朋友聽到這件事或是看到我用IG跟男友講話都會表示這也太怪了吧ΣД不過原本就是從IG回限時動態開始聊天交往後繼續用IG應該很合理,"['情侶', '間', '通訊', '軟體', '和', '男友', '交往', '一年', '多', '我們', '都是', '用', 'IG', '作為', '主要', '通訊', '軟體', '只要', '有朋友', '聽', '到', '這件', '事', '或是', '看到', '我', '用', 'IG', '跟', '男友', '講話', '都', '會表示', '這也', '太怪', '了', '吧', 'Σ', 'Д', '不過', '原本', '就是', '從', 'IG', '回限時', '動態', '開始', '聊天', '交往', '後繼', '續用', 'IG', '應該', '很', '合理']"
11,239717562,要怎麼樣才可以認識女生,我很多朋友，他們成績都不怎麼好，但卻能找到女朋友，而且超多都是高中生不然就是國中剛畢業的，本魯不限制，就是想知道怎麼樣有機會認識女生，然後起首句大概怎麼說，拜託各位戀愛達人指教一下，我也有問過他們，但,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:11:46.810000+00:00,5,0,"['女生', '認識', '感情']",閒聊,,[],要怎麼樣才可以認識女生我很多朋友他們成績都不怎麼好但卻能找到女朋友而且超多都是高中生不然就是國中剛畢業本魯不限制就是想知道怎麼樣有機會認識女生然後起首句大概怎麼說拜託各位戀愛達人指教一下我也有問過他們但,"['要', '怎麼樣', '才', '可以', '認識', '女生', '我', '很多', '朋友', '他們', '成績', '都', '不怎麼', '好', '但', '卻', '能', '找', '到', '女朋友', '而且', '超多', '都是', '高', '中生', '不然', '就是', '國中剛', '畢業', '本魯', '不', '限制', '就是', '想', '知道', '怎麼樣', '有', '機會', '認識', '女生', '然後', '起首句', '大概', '怎麼', '說', '拜', '託', '各位', '戀', '愛達', '人', '指教', '一下', '我', '也', '有', '問過', '他們', '但']"
12,239717525,收到這樣的商品會想退貨嗎,原本是要買來送人當禮物的，結果打開包裹看到長這樣，整個商品超髒 瞬間覺得體驗很糟，大家這樣會選擇退貨嗎還是自己清理就好,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:07:42.730000+00:00,1,0,"['商品', '退貨']",閒聊,,[],收到這樣商品會想退貨嗎原本是要買來送人當禮物結果打開包裹看到長這樣整個商品超髒瞬間覺得體驗很糟大家這樣會選擇退貨嗎還是自己清理就好,"['收到', '這樣', '商品', '會想', '退貨', '嗎', '原本', '是', '要', '買', '來', '送', '人', '當禮物', '結果', '打開', '包裹', '看到', '長', '這樣', '整個', '商品', '超', '髒', '瞬', '間', '覺得', '體驗', '很糟', '大家', '這樣', '會', '選擇', '退貨', '嗎', '還是', '自己', '清理', '就', '好']"
13,239717514,狗跟奥客禁止進入,前幾天我在上班的時候，遇到一位客人 站在櫃檯前點餐點很久就算了，終於選好餐點後 也幫她結帳完成，當我把信用卡跟發票一起還給她時，她居然冒出一句...我看我還是不要吃這個好了 不好意思，.，.，.，我無,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:06:55.964000+00:00,8,8,"['工作', '傻眼', '大學', '奧客']",閒聊,,[{'url': 'https://imgur.com/eqpEkQP.jpg'}],狗跟奥客禁止進入前幾天我在上班時候遇到一位客人站在櫃檯前點餐點很久就算了終於選好餐點後也幫她結帳完成當我把信用卡跟發票一起還給她時她居然冒出一句我看我還是不要吃這個好了不好意思我無,"['狗', '跟', '奥客', '禁止', '進入', '前', '幾天', '我', '在', '上班', '時候', '遇到', '一位', '客人', '站', '在', '櫃', '檯', '前點', '餐點', '很', '久', '就算', '了終', '於', '選好', '餐點', '後', '也', '幫', '她', '結帳', '完成', '當我', '把', '信用卡', '跟', '發票', '一起', '還給', '她', '時', '她', '居然', '冒', '出', '一句', '我', '看', '我', '還是', '不要', '吃', '這個', '好', '了', '不好意思', '我', '無']"
14,239717495,狗勾系,今天心情好，想要分享狗勾系男友，️，半夜上廁所回來，我爬到旁邊睡怕吵醒他…，「嗯～沒有抱抱！」把我的手拉過去抱在一起睡。️，聊到狗的話題，我說我有養一隻大狗勾…，「握手～」手心對著他，他的手就搭上來了，然,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:05:08.746000+00:00,1,0,"['男友', '狗系', '甜蜜']",閒聊,,[],狗勾系今天心情好想要分享狗勾系男友️半夜上廁所回來我爬到旁邊睡怕吵醒他嗯沒有抱抱把我手拉過去抱在一起睡️聊到狗話題我說我有養一隻大狗勾握手手心對著他他手就搭上來了然,"['狗', '勾系', '今天', '心情', '好', '想要', '分享', '狗', '勾系', '男友', '️', '半夜', '上', '廁所', '回來', '我', '爬', '到', '旁邊', '睡怕', '吵醒', '他', '嗯', '沒有', '抱', '抱', '把', '我', '手拉', '過去', '抱', '在', '一起', '睡', '️', '聊到', '狗話題', '我', '說', '我', '有養', '一隻', '大狗', '勾握', '手', '手心', '對', '著', '他', '他', '手', '就', '搭', '上來', '了然']"
15,239717487,拜完的東西怎麼吃！,每個媽媽都會有一些不知道哪裡來的奇怪習俗，有的可能代代相傳，有的是自創，我家是在做生意的，主要是在批發乾貨，還有跟親戚在市場擺攤賣吃的東西，總之家裡每逢初二、十六一定會燒香拜拜，到農曆七月更搞剛，月初,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:03:55.541000+00:00,9,19,[],閒聊,,[{'url': 'https://imgur.com/HgmLecW.jpg'}],拜完東西怎麼吃每個媽媽都會有一些不知道哪裡來奇怪習俗有可能代代相傳有是自創我家是在做生意主要是在批發乾貨還有跟親戚在市場擺攤賣吃東西總之家裡每逢初二十六一定會燒香拜拜到農曆七月更搞剛月初,"['拜', '完東西', '怎麼', '吃', '每個', '媽媽', '都', '會', '有', '一些', '不知道', '哪裡', '來', '奇怪', '習俗', '有', '可能', '代代相傳', '有', '是', '自創', '我家', '是', '在', '做生意', '主要', '是', '在', '批發', '乾貨', '還有', '跟', '親戚', '在', '市場', '擺攤', '賣', '吃', '東西', '總之', '家裡', '每逢', '初', '二十六', '一', '定會', '燒香', '拜', '拜', '到', '農', '曆', '七月', '更', '搞', '剛月', '初']"
16,239717476,關於網紅接娛樂城業配,真的越來越討厭那種會接娛樂城業配的網紅欸，白痴都知道娛樂城這東西害人不淺，網紅要賺錢也要有點良心吧，搞不好你的粉絲就真的是看了你的業配文，一個好奇之下就把自己的錢賠光甚至背債，因為你的一則業配文，把你,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:03:11.350000+00:00,0,2,"['網紅', '業配', '娛樂', 'IG']",閒聊,,[],關於網紅接娛樂城業配真越來越討厭那種會接娛樂城業配網紅欸白痴都知道娛樂城這東西害人不淺網紅要賺錢也要有點良心吧搞不好你粉絲就真是看了你業配文一個好奇之下就把自己錢賠光甚至背債因為你一則業配文把你,"['關於', '網紅接', '娛樂城', '業配', '真越', '來', '越', '討厭', '那種', '會接', '娛樂城', '業配', '網紅', '欸', '白痴', '都', '知道', '娛樂城', '這東西', '害人不淺', '網紅要', '賺', '錢', '也', '要', '有點', '良心', '吧', '搞', '不好', '你', '粉絲', '就', '真', '是', '看', '了', '你業', '配文', '一個', '好奇', '之下', '就', '把', '自己', '錢', '賠光', '甚至', '背債', '因為', '你', '一則', '業配', '文', '把', '你']"
17,239717473,老公和情人究竟該如何選擇？,欸……不是我，我只是莫名被推薦了一首歌，歌名叫「你是潘金蓮 我是西門慶」看了一下歌詞，是關於感情觀放在現代會是什麼樣子，省思了一下突發奇想，如果他們的故事出現在現代，是不是就會變成女生上Dcard發文,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:02:56.748000+00:00,0,0,"['老公', '情人', '感情', '閒聊']",閒聊,,[],老公和情人究竟該如何選擇欸不是我我只是莫名被推薦了一首歌歌名叫你是潘金蓮我是西門慶看了一下歌詞是關於感情觀放在現代會是什麼樣子省思了一下突發奇想如果他們故事出現在現代是不是就會變成女生上Dcard發文,"['老公', '和', '情人', '究竟', '該', '如何', '選擇', '欸', '不是', '我', '我', '只是', '莫名', '被', '推薦', '了', '一首歌', '歌', '名叫', '你', '是', '潘金蓮', '我', '是', '西門慶', '看', '了', '一下', '歌詞', '是', '關於', '感情', '觀放', '在', '現代會', '是', '什麼樣', '子省思', '了', '一下', '突發', '奇想', '如果', '他們', '故事', '出現', '在', '現代', '是', '不是', '就會', '變成', '女生', '上', 'Dcard', '發文']"
18,239717469,關於賴賺錢的群組,不知道這是真的還是假的，是假的感覺也不會那麼多人在群組裡互動，是真的又很難相信，求解,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 10:02:38.327000+00:00,4,1,"['rooit', '鑰匙', '賺錢', '群組', '閒聊']",閒聊,,"[{'url': 'https://imgur.com/mgiRO0a.jpg'}, {'url': 'https://imgur.com/pNOeyuf.jpg'}]",關於賴賺錢群組不知道這是真還是假是假感覺也不會那麼多人在群組裡互動是真又很難相信求解,"['關於', '賴賺', '錢', '群組', '不知道', '這是', '真', '還是', '假', '是', '假', '感覺', '也', '不會', '那麼', '多', '人', '在', '群', '組裡', '互動', '是', '真', '又', '很', '難', '相信', '求解']"
19,239717397,臉盲症末期,我本身除了嚴重路痴外，還有嚴重臉盲症，拜託不要在路上叫我，問我記不記得你，我真的百分之99都認不出來，最近滿喜歡聽Apink韓國女團的歌～聽久了就想了解一下團員，*圖片擷取至網路，沒想到我竟然真的認不,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 09:55:48.048000+00:00,1,1,"['有趣', '閒聊', '傻眼']",閒聊,,[],臉盲症末期我本身除了嚴重路痴外還有嚴重臉盲症拜託不要在路上叫我問我記不記得你我真百分之99都認不出來最近滿喜歡聽Apink韓國女團歌聽久了就想了解一下團員圖片擷取至網路沒想到我竟然真認不,"['臉盲', '症末期', '我', '本身', '除了', '嚴重', '路痴外', '還有', '嚴重', '臉', '盲症', '拜', '託', '不要', '在', '路上', '叫', '我問', '我', '記不記', '得', '你', '我', '真百分', '之', '99', '都', '認', '不', '出來', '最近', '滿', '喜歡', '聽', 'Apink', '韓國', '女團', '歌', '聽', '久', '了', '就', '想', '了解', '一下', '團員', '圖片', '擷取', '至', '網路', '沒', '想到', '我', '竟然', '真認', '不']"
20,239717381,冷氣27度和25度的冷風一樣正常嗎？,家人都說冷氣要開27度，開了後發現冷氣27度和25度的冷風，好像感覺一樣，請問冷氣27度和25度的冷風一樣正常嗎？,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 09:54:42.475000+00:00,4,0,"['冷氣', '閒聊']",閒聊,,[],冷氣27度和25度冷風一樣正常嗎家人都說冷氣要開27度開了後發現冷氣27度和25度冷風好像感覺一樣請問冷氣27度和25度冷風一樣正常嗎,"['冷氣', '27', '度', '和', '25', '度', '冷風', '一樣', '正常', '嗎', '家人', '都', '說', '冷氣', '要開', '27', '度開', '了', '後發', '現', '冷氣', '27', '度', '和', '25', '度', '冷風', '好像', '感覺', '一樣', '請問', '冷氣', '27', '度', '和', '25', '度', '冷風', '一樣', '正常', '嗎']"
21,239717377,台北 夜店夜店～,明天放假，今天想夜店小酌 有人想一起出來的嗎～～,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 09:54:17.631000+00:00,3,0,"['夜店', '台北']",閒聊,,[],台北夜店夜店明天放假今天想夜店小酌有人想一起出來嗎,"['台北', '夜店', '夜店', '明', '天放', '假', '今天', '想', '夜店', '小酌', '有', '人', '想', '一起', '出來', '嗎']"
22,239717341,最近的展演法的事鬧得沸沸揚揚，想到前幾年阿河事件,不知道大家是否還記得當年阿河事件，台中天馬牧場的河馬「阿河」在運送過程中摔車，不料又在吊掛過程中二次重摔而致死亡，因為有這樣的憾事發生，社會當局遂將「展演動物」納入動保法，當時還因此誕生阿河條款，但短,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 09:48:12.640000+00:00,3,2,"['事件', '展演', '動物']",閒聊,,[],最近展演法事鬧得沸沸揚揚想到前幾年阿河事件不知道大家是否還記得當年阿河事件台中天馬牧場河馬阿河在運送過程中摔車不料又在吊掛過程中二次重摔而致死亡因為有這樣憾事發生社會當局遂將展演動物納入動保法當時還因此誕生阿河條款但短,"['最近', '展演', '法事', '鬧', '得', '沸沸揚揚', '想到', '前', '幾年', '阿河', '事件', '不知道', '大家', '是否', '還記', '得當', '年', '阿河', '事件', '台', '中', '天馬', '牧場', '河馬', '阿河', '在', '運送', '過程', '中', '摔車', '不料', '又', '在', '吊掛', '過程', '中', '二次', '重', '摔', '而', '致死亡', '因為', '有', '這樣憾', '事發', '生社會', '當局', '遂將', '展演', '動物', '納入動', '保法', '當時還', '因此', '誕生', '阿河', '條款', '但', '短']"
23,239717309,【碩士論文問卷】民眾使用振興五倍券之消費歷程 （獎金加碼！）,〖好康通知〗獎金加碼！🥳分享還可額外抽獎！🤩，因問卷數尚未達標，獎金緊急加碼，最高獎金$1，000元！！，分享還有額外抽獎機會！，幫我分享至您的社群平台（Facebook或IG）或Line社團（社團內,255fd275-fec2-49d2-8e46-2e1557ffaeb0,,2022-08-16 09:44:00.260000+00:00,1,1,"['碩士', '問卷', '論文']",閒聊,,[],碩士論文問卷民眾使用振興五倍券之消費歷程獎金加碼〖好康通知〗獎金加碼🥳分享還可額外抽獎🤩因問卷數尚未達標獎金緊急加碼最高獎金1000元分享還有額外抽獎機會幫我分享至您社群平台Facebook或IG或Line社團社團內,"['碩士', '論文', '問卷', '民眾', '使用', '振興', '五倍', '券', '之', '消費', '歷程', '獎金', '加碼', '〖', '好康', '通知', '〗', '獎金', '加碼', '🥳', '分享', '還可額', '外', '抽獎', '🤩', '因問', '卷數', '尚未', '達標', '獎金緊', '急', '加碼', '最高', '獎金', '1000', '元', '分享', '還有', '額外', '抽獎', '機會', '幫', '我', '分享', '至', '您', '社群', '平台', 'Facebook', '或', 'IG', '或', 'Line', '社團', '社團', '內']"
