,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
0,238843162,2022-05-10 00:24:06.080000+00:00,2022-05-10T02:49:56.822Z,爸爸媽媽不捨得為自己花錢但在我和妹妹身上投資很多為了給我們幸福生活,1.0,"['爸爸', '媽媽', '不', '捨', '得', '為', '自己', '花', '錢', '但', '在', '我', '和', '妹妹', '身上', '投資', '很多', '為', '了給', '我們', '幸福生活']"
1,238843162,2022-05-10 01:23:18.197000+00:00,2022-05-10T01:23:18.197Z,當小時候每天只有清稀飯可以吃當小時候生病時不能去看醫生因為繳不起健保,1.0,"['當', '小時候', '每天', '只有', '清稀飯', '可以', '吃當', '小時候', '生病', '時', '不能', '去', '看', '醫生', '因為', '繳不起', '健保']"
2,238843162,2022-05-10 02:49:13.568000+00:00,2022-05-10T02:49:13.568Z,每天都在唸燈要關白天不用開電燈錢要花在刀口上買東西猶豫很久最後沒買,0.0,"['每', '天都', '在', '唸', '燈要', '關白天', '不用', '開電燈', '錢', '要', '花', '在', '刀口', '上', '買', '東西', '猶豫', '很', '久', '最', '後', '沒', '買']"
3,238843015,2022-05-09 23:39:21.499000+00:00,2022-05-09T23:39:21.499Z,為什麼交友軟體認識在一起會怪怪我自己是在交友軟體認識不會怪怪🤣,0.0,"['為什麼', '交友', '軟體', '認識', '在', '一起', '會', '怪怪', '我', '自己', '是', '在', '交友', '軟體', '認識', '不會', '怪怪', '🤣']"
4,238842998,2022-05-09 22:16:46.609000+00:00,2022-05-09T22:16:46.609Z,蛤她試穿了沒有買喔真心不懂這句話為什麼是壞話不就是疑惑試穿了怎麼沒買而已嗎,0.0,"['蛤', '她', '試穿', '了', '沒有', '買', '喔', '真心', '不', '懂', '這句', '話', '為什麼', '是', '壞話', '不', '就是', '疑惑', '試穿', '了', '怎麼', '沒買', '而', '已', '嗎']"
5,238842998,2022-05-10 00:57:14.340000+00:00,2022-05-10T00:57:14.340Z,這種一般見識人不用理他就是最好選擇叫人早日消失並沒有顯得你素養比較好,0.0,"['這種', '一般見識', '人', '不用', '理他', '就是', '最好', '選擇', '叫', '人', '早日', '消失並', '沒有', '顯得', '你', '素養', '比', '較', '好']"
8,238842994,2022-05-10 00:45:04.006000+00:00,2022-05-10T00:45:04.006Z,這個乳量忍不住正常,650.0,"['這個', '乳量', '忍不住', '正常']"
10,238842994,2022-05-10 01:20:49.830000+00:00,2022-05-10T01:20:49.830Z,今天網路用得夠多了,190.0,"['今', '天網', '路用', '得夠', '多', '了']"
11,238842994,2022-05-10 01:32:11.559000+00:00,2022-05-10T01:32:11.559Z,修但幾咧記者怎麼會知道專家又是哪位槽點滿滿,155.0,"['修', '但', '幾咧', '記者', '怎麼', '會', '知道', '專家', '又', '是', '哪位', '槽點', '滿滿']"
12,238842994,2022-05-10 01:43:35.710000+00:00,2022-05-10T01:43:35.710Z,把劇情具現化男人,34.0,"['把', '劇情', '具現化', '男人']"
17,238842994,2022-05-10 02:25:04.840000+00:00,2022-05-10T02:25:04.840Z,今天網路用得夠多了,28.0,"['今', '天網', '路用', '得夠', '多', '了']"
29,238842994,2022-05-10 05:06:19.439000+00:00,2022-05-10T05:06:19.439Z,stickerassetsdcardtwimagescc779f987e564142a449c84bfaea37origpng我到底看到了三小,3.0,"['stickerassetsdcardtwimagescc779f987e564142a449c84bfaea37origpng', '我', '到底', '看到', '了', '三', '小']"
32,238842994,2022-05-10 05:57:14.315000+00:00,2022-05-10T05:57:14.315Z,保養比兒子好,19.0,"['保養', '比', '兒子', '好']"
36,238842994,2022-05-10 06:15:28.346000+00:00,2022-05-10T06:15:28.346Z,是不是親媽我不在乎但三十歲我就真不行了那跟富田有什麼兩樣,5.0,"['是', '不是', '親媽', '我', '不在乎', '但', '三十歲', '我', '就', '真', '不行', '了', '那', '跟', '富田有', '什麼', '兩樣']"
38,238842994,2022-05-10 06:24:28.095000+00:00,2022-05-10T06:24:28.095Z,世界無奇不有,0.0,"['世界', '無奇', '不', '有']"
41,238842994,2022-05-10 06:38:26.854000+00:00,2022-05-10T06:38:26.854Z,影片勒,0.0,"['影片', '勒']"
46,238842994,2022-05-10 06:57:53.713000+00:00,2022-05-10T06:57:53.713Z,真幹他娘,6.0,"['真幹', '他娘']"
48,238842994,2022-05-10 07:07:35.343000+00:00,2022-05-10T07:07:35.343Z,不知道為什麼總覺得新聞報導這種愛上自己媽媽妹妹表妹還是跟阿嬤在一起外國男生都長像原文裡這個男生一定是我眼盲,33.0,"['不知道', '為什麼', '總', '覺得', '新聞', '報導', '這種', '愛', '上自', '己', '媽媽', '妹妹', '表妹', '還是', '跟', '阿嬤在', '一起', '外國', '男生', '都', '長', '像', '原文', '裡這個', '男生', '一定', '是', '我', '眼盲']"
49,238842994,2022-05-10 07:07:35.810000+00:00,2022-05-10T07:07:35.810Z,情況從複雜變得難以理解,7.0,"['情況', '從', '複', '雜變', '得', '難', '以理解']"
50,238842994,2022-05-10 07:11:42.262000+00:00,2022-05-10T07:11:42.262Z,沒有一個地方法律允許亂倫吧stickerassetsdcardtwimagesd93e9c8249694e74828d39c58c56c6origpng,15.0,"['沒有', '一個', '地方', '法律', '允許', '亂倫', '吧', 'stickerassetsdcardtwimagesd93e9c8249694e74828d39c58c56c6origpng']"
51,238842994,2022-05-10 07:25:38.633000+00:00,2022-05-10T07:25:38.633Z,看來今天網路用不夠多呢,0.0,"['看來', '今', '天網', '路用', '不夠', '多', '呢']"
52,238842994,2022-05-10 07:33:45.183000+00:00,2022-05-10T07:33:45.183Z,我到底看到了什麼stickerassetsdcardtwimages09b768bedd49ec9bd71651a95d9a3forigpng,3.0,"['我', '到底', '看到', '了', '什麼', 'stickerassetsdcardtwimages09b768bedd49ec9bd71651a95d9a3forigpng']"
54,238842994,2022-05-10 07:34:17.294000+00:00,2022-05-10T07:34:17.294Z,愛上自己媽媽確是很奇怪事情但如果兩人沒有發現彼此是母子還喜歡上對方這樣算正常還是不正常,14.0,"['愛', '上自', '己', '媽媽', '確是', '很', '奇怪', '事情', '但', '如果', '兩人', '沒有', '發現', '彼此', '是', '母子還', '喜歡', '上', '對方', '這樣', '算', '正常', '還是', '不正', '常']"
58,238842994,2022-05-10 08:14:37.622000+00:00,2022-05-10T08:14:37.622Z,還以為金是爸爸,1.0,"['還以', '為', '金是', '爸爸']"
62,238842994,2022-05-10 08:39:55.356000+00:00,2022-05-10T08:39:55.356Z,這沒啥翻開中國歷史很多皇帝都這樣玩得更瘋狂,4.0,"['這沒', '啥', '翻開', '中國', '歷史', '很多', '皇', '帝都', '這樣', '玩', '得', '更', '瘋狂']"
63,238842994,2022-05-10 08:40:28.337000+00:00,2022-05-10T08:45:35.282Z,stickerassetsdcardtwimagesc4c9a34ea3fa49c644a518543corigpng我才剛成年這⋯好恐怖,3.0,"['stickerassetsdcardtwimagesc4c9a34ea3fa49c644a518543corigpng', '我才剛', '成年', '這', '⋯', '好', '恐怖']"
64,238842994,2022-05-10 08:41:01.065000+00:00,2022-05-10T08:42:41.313Z,如果他們生小孩ㄌ那他們生出來小孩要叫這個女生媽媽還是阿嬤,6.0,"['如果', '他們', '生', '小孩', 'ㄌ', '那', '他們', '生', '出來', '小孩', '要', '叫', '這個', '女生', '媽媽', '還是', '阿', '嬤']"
65,238842994,2022-05-10 08:56:19.677000+00:00,2022-05-10T08:56:19.677Z,stickerassetsdcardtwimagescc779f987e564142a449c84bfaea37origpng現實真比片子還扯,1.0,"['stickerassetsdcardtwimagescc779f987e564142a449c84bfaea37origpng', '現實', '真', '比片子', '還扯']"
66,238842994,2022-05-10 08:57:12.878000+00:00,2022-05-10T08:57:12.878Z,好想吃爭鮮喔,2.0,"['好', '想', '吃', '爭鮮', '喔']"
69,238842994,2022-05-10 09:09:20.368000+00:00,2022-05-10T09:09:20.368Z,不太舒服,2.0,"['不太', '舒服']"
71,238842994,2022-05-10 09:12:18.950000+00:00,2022-05-10T09:12:18.950Z,寫信給金還以為是小傑在找爸爸,10.0,"['寫信給', '金', '還以', '為', '是', '小傑', '在', '找', '爸爸']"
72,238842994,2022-05-10 09:16:46.441000+00:00,2022-05-10T09:16:46.441Z,凱撒歸凱撒上帝歸上帝我看了些什麼stickerassetsdcardtwimages373c13cc6c41e560a2c8c61c26c5origpng,0.0,"['凱撒', '歸', '凱撒', '上帝', '歸', '上帝', '我', '看', '了', '些', '什麼', 'stickerassetsdcardtwimages373c13cc6c41e560a2c8c61c26c5origpng']"
